"sec","power","rP","rG","pctP"
1,400,4873.30398153406,14976.9722587336,97.4660796306812
2,400,4766.37371313588,14934.4519553197,95.3274742627175
3,400,4676.21371166693,14875.4315542766,93.5242742333386
4,400,4600.28792533447,14802.4441221314,92.0057585066893
5,400,4536.44920733574,14717.6338534075,90.7289841467147
6,400,4482.87961653423,14622.8157695832,89.6575923306846
7,400,4434.56279311659,14523.003343075,88.6912558623318
8,400,4388.4848655617,14421.2075899116,87.769697311234
9,400,4344.16236705679,14317.9091529657,86.8832473411358
10,400,4301.23927809991,14213.4612590022,86.0247855619983
11,400,4259.44702945708,14108.129715377,85.1889405891417
12,400,4218.57903501023,14002.1183768478,84.3715807002046
13,400,4178.47383749511,13895.5859994987,83.5694767499023
14,400,4139.00358438677,13788.6577645218,82.7800716877354
15,400,4100.0659253392,13681.4333804471,82.001318506784
16,400,4061.57817642493,13573.9929185773,81.2315635284985
17,400,4023.47302809215,13466.401104708,80.469460561843
18,400,3985.69533026711,13358.7105337061,79.7139066053423
19,400,3948.19964545626,13250.9641160924,78.9639929091252
20,400,3910.94836010878,13143.1969663669,78.2189672021757
21,400,3873.91020887872,13035.4378784386,77.4782041775744
22,400,3837.0591090771,12927.7104908675,76.7411821815419
23,400,3800.37323144904,12820.0342157866,76.0074646289809
24,400,3763.83425328723,12712.4249854893,75.2766850657447
25,400,3727.42675382862,12604.895856738,74.5485350765724
26,400,3691.13772180933,12497.4575029172,73.8227544361866
27,400,3654.95615223168,12390.1186169778,73.0991230446336
28,400,3618.87271466161,12282.8862428544,72.3774542932322
29,400,3582.87947928609,12175.7660491254,71.6575895857219
30,400,3546.96968990179,12068.7625557453,70.9393937980359
31,120,3570.98682487163,12073.2349120559,71.4197364974326
32,120,3594.61151425172,12077.7004446371,71.8922302850344
33,120,3617.85008977945,12082.1591639003,72.3570017955891
34,120,3640.70878246604,12086.611080241,72.8141756493207
35,120,3663.19372417385,12091.0562040388,73.2638744834769
36,120,3685.3109491695,12095.4945456574,73.70621898339
37,120,3707.06639565303,12099.9261154449,74.1413279130605
38,120,3728.46590726348,12104.3509237333,74.5693181452696
39,120,3749.51523456141,12108.7689808391,74.9903046912282
40,120,3770.22003648845,12113.180297063,75.404400729769
41,120,3790.58588180445,12117.5848826898,75.8117176360889
42,120,3810.61825050241,12121.9827479889,76.2123650100482
43,120,3830.32253520169,12126.3739032139,76.6064507040337
44,120,3849.70404251959,12130.7583586026,76.9940808503918
45,120,3868.76799442193,12135.1361243775,77.3753598884387
46,400,3746.7231124579,12101.7560917994,74.9344622491581
47,400,3643.25243284139,12050.4727629794,72.8650486568279
48,400,3555.58693450068,11984.0346210753,71.1117386900136
49,400,3481.38028031892,11904.7682068514,69.6276056063785
50,400,3418.64401289302,11814.6428945468,68.3728802578605
51,400,3365.69269567675,11715.3257234645,67.3138539135349
52,400,3317.41288950557,11611.9123952399,66.3482577901115
53,400,3271.24627271266,11506.9441285382,65.4249254542532
54,400,3226.76035197633,11400.8369240008,64.5352070395267
55,400,3183.63226027845,11293.8977430216,63.6726452055691
56,400,3141.61563953182,11186.3576027603,62.8323127906363
57,400,3100.51911960433,11078.3930756275,62.0103823920867
58,400,3060.19183058981,10970.1407563587,61.2038366117962
59,400,3020.51335280508,10861.7072921653,60.4102670561016
60,400,2981.3865632329,10753.1765172106,59.6277312646579
61,400,2942.73242876765,10644.6146410248,58.854648575353
62,400,2904.48614210893,10536.0740949836,58.0897228421786
63,400,2866.59420497683,10427.59643215,57.3318840995366
64,400,2829.01219342731,10319.2145456737,56.5802438685462
65,400,2791.70302330515,10210.9543876842,55.8340604661029
66,400,2754.63558844453,10102.8363160443,55.0927117688905
67,400,2717.78368077825,9994.87615977781,54.3556736155649
68,400,2681.12512648194,9887.08606902296,53.6225025296388
69,400,2644.6410896417,9779.47519800156,52.8928217928339
70,400,2608.31550720952,9672.0502572176,52.1663101441903
71,400,2572.13462782561,9564.81596228666,51.4426925565122
72,400,2536.0866335075,9457.77540037647,50.7217326701501
73,400,2500.16132794614,9350.9303304998,50.0032265589229
74,400,2464.3498786933,9244.28143035759,49.286997573866
75,400,2428.64460320544,9137.8284997496,48.5728920641088
76,120,2466.39852201933,9146.77274947393,49.3279704403866
77,120,2503.61080520067,9155.70335244584,50.0722161040135
78,120,2540.28902209326,9164.62032948695,50.8057804418652
79,120,2576.44063939096,9173.52370138713,51.5288127878193
80,120,2612.07302248206,9182.41348890451,52.2414604496412
81,120,2647.19343677668,9191.28971276557,52.9438687355336
82,120,2681.80904901755,9200.15239366514,53.636180980351
83,120,2715.92692857425,9209.00155226651,54.318538571485
84,120,2749.55404872115,9217.8372092014,54.9910809744229
85,120,2782.69728789928,9226.65938507009,55.6539457579857
86,120,2815.36343096231,9235.46810044141,56.3072686192462
87,120,2847.55917040672,9244.2633758528,56.9511834081344
88,120,2879.29110758655,9253.04523181039,57.5858221517311
89,120,2910.56575391277,9261.81368878899,58.2113150782553
90,120,2941.38953203744,9270.56876723219,58.8277906407489
91,400,2820.02198756031,9237.18300896359,56.4004397512061
92,400,2717.31156794604,9185.8948334512,54.3462313589207
93,400,2630.48488420325,9119.45258891057,52.6096976840651
94,400,2557.19140058601,9040.1827018798,51.1438280117203
95,400,2495.43862593409,8950.05444990771,49.9087725186817
96,400,2443.53725020893,8850.73479045059,48.8707450041787
97,400,2395.61154959287,8748.07792255515,47.9122309918574
98,400,2349.80284350605,8643.92179792011,46.996056870121
99,400,2305.67950269451,8538.67808213245,46.1135900538902
100,400,2262.91923068617,8432.64984373261,45.2583846137235
101,400,2221.27603019748,8326.06455947921,44.4255206039496
102,400,2180.55873731301,8219.09555294571,43.6111747462602
103,400,2140.61657163507,8111.876418209,42.8123314327014
104,400,2101.3291132827,8004.51101770864,42.026582265654
105,400,2062.59916922635,7897.08059175085,41.251983384527
106,400,2024.34758161543,7789.64892696133,40.4869516323087
107,400,1986.50937539361,7682.26618635556,39.7301875078723
108,400,1949.03085081636,7574.97179537622,38.9806170163273
109,400,1911.86735627575,7467.7966484591,38.237347125515
110,400,1874.98155989803,7360.76481762897,37.4996311979606
111,400,1838.34209282417,7253.89489018394,36.7668418564834
112,400,1801.92247354948,7147.201026062,36.0384494709896
113,400,1765.70024760756,7040.6938005754,35.3140049521512
114,400,1729.65629420671,6934.38088087702,34.5931258841342
115,400,1693.77426367599,6828.26757227459,33.8754852735198
116,400,1658.04011837347,6722.35726171458,33.1608023674695
117,400,1622.44175611631,6616.65177935146,32.4488351223262
