"sec","power","rP","rG","pctP"
1,400,4873.02774126641,14976.9722587336,97.4605548253282
2,400,4765.54804468034,14934.4519553197,95.3109608936068
3,400,4674.56844572344,14875.4315542766,93.4913689144689
4,400,4597.55587786856,14802.4441221314,91.9511175573711
5,400,4532.36614659249,14717.6338534075,90.6473229318499
6,400,4477.18423041678,14622.8157695832,89.5436846083356
7,400,4428.25720542831,14521.7427945717,88.5651441085662
8,400,4381.51670975888,14418.4832902411,87.6303341951776
9,400,4336.47990820069,14313.5200917993,86.7295981640138
10,400,4292.79109500325,14207.2089049968,85.8558219000649
11,400,4250.18182562684,14099.8181743732,85.0036365125368
12,400,4208.44553065043,13991.5544693496,84.1689106130086
13,400,4167.42071396999,13882.57928603,83.3484142793998
14,400,4126.97946321881,13773.0205367812,82.5395892643762
15,400,4087.01937007582,13662.9806299242,81.7403874015164
16,400,4047.4577095434,13552.5422904566,80.9491541908679
17,400,4008.22715755708,13441.7728424429,80.1645431511416
18,400,3969.27258196853,13330.7274180315,79.3854516393706
19,400,3930.54859885524,13219.4514011448,78.6109719771049
20,400,3892.01768518684,13107.9823148132,77.8403537037368
21,120,3911.18626388481,13110.8690742091,78.2237252776962
22,120,3930.02566022514,13113.7514291115,78.6005132045027
23,120,3948.54148164406,13116.6293862404,78.9708296328812
24,120,3966.73924090507,13119.5029523059,79.3347848181014
25,120,3984.62435768171,13122.3721340075,79.6924871536341
26,120,4002.20216011415,13125.2369380349,80.044043202283
27,120,4019.4778863401,13128.0973710671,80.389557726802
28,120,4036.45668600029,13130.9534397734,80.7291337200059
29,120,4053.14362171915,13133.8051508126,81.062872434383
30,120,4069.54367056087,13136.6525108335,81.3908734112175
31,120,4085.66172546146,13139.4955264747,81.7132345092291
32,120,4101.50259663699,13142.3342043646,82.0300519327398
33,120,4117.07101296864,13145.1685511215,82.3414202593729
34,120,4132.37162336469,13147.9985733538,82.6474324672938
35,120,4147.40899809997,13150.8242776597,82.9481799619994
36,120,4162.18763013318,13153.6456706271,83.2437526026636
37,120,4176.71193640231,13156.4627588342,83.5342387280462
38,120,4190.98625909859,13159.2755488491,83.8197251819718
39,120,4205.01486691935,13162.0840472296,84.1002973383869
40,120,4218.80195630007,13164.8882605238,84.3760391260014
41,120,4232.35165262602,13167.6881952697,84.6470330525204
42,120,4245.66801142377,13170.4838579953,84.9133602284755
43,120,4258.75501953296,13173.2752552187,85.1751003906592
44,120,4271.61659625858,13176.0623934479,85.4323319251715
45,120,4284.25659450415,13178.8452791813,85.6851318900831
46,120,4296.67880188613,13181.623918907,85.9335760377226
47,120,4308.88694182969,13184.3983191035,86.1777388365937
48,120,4320.88467464642,13187.1684862392,86.4176934929284
49,120,4332.67559859408,13189.9344267728,86.6535119718815
50,120,4344.26325091869,13192.6961471529,86.8852650183738
51,120,4355.65110887941,13195.4536538187,87.1130221775883
52,120,4366.84259075628,13198.2069531991,87.3368518151257
53,120,4377.84105684126,13200.9560517134,87.5568211368251
54,120,4388.64981041276,13203.7009557712,87.7729962082551
55,120,4399.27209869401,13206.4416717722,87.9854419738802
56,120,4409.71111379543,13209.1782061063,88.1942222759086
57,120,4419.96999364135,13211.9105651537,88.3993998728269
58,120,4430.05182288128,13214.638755285,88.6010364576256
59,120,4439.95963378606,13217.3627828608,88.7991926757212
60,120,4449.69640712906,13220.0826542322,88.9939281425811
