"sec","power","rP","rG","pctP"
1,800,4700,14976.9722587336,94
2,800,4418,14934.4519553197,88.36
3,800,4152.92,14875.4315542766,83.0584
4,800,3903.7448,14802.4441221314,78.074896
5,800,3669.520112,14717.6338534075,73.39040224
6,100,3698.14875668145,14718.0912171745,73.9629751336289
7,100,3726.16200378963,14718.5478401246,74.5232400757926
8,100,3753.57306751366,14719.0037234577,75.0714613502733
9,100,3780.39487862976,14719.4588683718,75.6078975725952
10,100,3806.64009057214,14719.9132760631,76.1328018114429
11,100,3832.32108537411,14720.3669477255,76.6464217074822
12,100,3857.44997948198,14720.8198845514,77.1489995896396
13,100,3882.0386294447,14721.2720877309,77.6407725888941
14,100,3906.0986374817,14721.7235584523,78.1219727496339
15,100,3929.64135693159,14722.1742979022,78.5928271386317
16,100,3952.67789758438,14722.6243072649,79.0535579516876
17,100,3975.21913089951,14723.073587723,79.5043826179903
18,100,3997.27569511231,14723.5221404572,79.9455139022461
19,100,4018.8580002311,14723.9699666462,80.3771600046219
20,100,4039.97623292748,14724.4170674668,80.7995246585496
21,100,4060.6403613219,14724.863444094,81.2128072264379
22,100,4080.86013966681,14725.3090977007,81.6172027933361
23,100,4100.64511292965,14725.7540294581,82.0129022585931
24,100,4120.00462127773,14726.1982405354,82.4000924255547
25,100,4138.9478044671,14726.6417320999,82.778956089342
26,100,4157.48360613752,14727.084505317,83.1496721227505
27,100,4175.62077801555,14727.5265613504,83.5124155603109
28,100,4193.36788402755,14727.9679013616,83.8673576805509
29,100,4210.7333043248,14728.4085265105,84.214666086496
30,100,4227.72523922237,14728.8484379549,84.5545047844474
31,100,4244.35171305367,14729.2876368508,84.8870342610735
32,100,4260.62057794257,14729.7261243525,85.2124115588515
33,100,4276.53951749468,14730.1639016122,85.5307903498935
34,100,4292.11605040964,14730.6009697803,85.8423210081929
35,100,4307.35753401616,14731.0373300054,86.1471506803232
36,100,4322.27116773121,14731.4729834342,86.4454233546243
37,100,4336.86399644534,14731.9079312114,86.7372799289068
38,100,4351.14291383536,14732.3421744802,87.0228582767072
39,100,4365.11466560621,14732.7757143815,87.3022933121243
40,100,4378.78585266337,14733.2085520548,87.5757170532673
41,100,4392.16293421729,14733.6406886374,87.8432586843459
42,100,4405.2522308215,14734.072125265,88.1050446164299
43,100,4418.05992734546,14734.5028630712,88.3611985469091
44,100,4430.59207588393,14734.932903188,88.6118415176787
45,100,4442.85459860396,14735.3622467455,88.8570919720792
46,100,4454.85329053086,14735.790894872,89.0970658106173
47,100,4466.59382227463,14736.2188486939,89.3318764454926
48,100,4478.08174269788,14736.6461093357,89.5616348539575
49,100,4489.32248152669,14737.0726779203,89.7864496305338
50,100,4500.32135190554,14737.4985555686,90.0064270381107
51,100,4511.08355289746,14737.9237433997,90.2216710579491
52,100,4521.6141719307,14738.3482425311,90.432283438614
53,100,4531.91818719298,14738.7720540782,90.6383637438597
54,100,4542.00046997442,14739.1951791547,90.8400093994883
55,100,4551.86578696028,14739.6176188726,91.0373157392056
56,100,4561.51880247468,14740.039374342,91.2303760494936
57,100,4570.96408067611,14740.4604466712,91.4192816135222
58,100,4580.20608770604,14740.8808369666,91.6041217541208
59,100,4589.24919379139,14741.3005463331,91.7849838758279
60,100,4598.09767530207,14741.7195758736,91.9619535060414
61,100,4606.7557167643,14742.1379266891,92.135114335286
62,100,4615.22741283094,14742.5555998792,92.3045482566188
63,100,4623.51677020949,14742.9725965413,92.4703354041899
64,100,4631.62770954886,14743.3889177713,92.6325541909771
65,100,4639.56406728562,14743.8045646633,92.7912813457125
