"sec","power","rP","rG","pctP"
1,300,4965.7664340065,14984.2335659935,99.31532868013
2,300,4938.74533801187,14961.2546619881,98.7749067602374
3,300,4915.8138501795,14934.1861498205,98.31627700359
4,300,4895.48656993309,14904.5134300669,97.9097313986618
5,300,4876.94198854724,14873.0580114528,97.5388397709447
6,300,4859.67895112828,14840.3210488717,97.1935790225656
7,300,4843.36994279879,14806.6300572012,96.8673988559758
8,300,4827.78977757565,14772.2102224244,96.5557955515129
9,300,4812.77751038958,14737.2224896104,96.2555502077917
10,300,4798.2145726571,14701.7854273429,95.9642914531421
11,300,4784.01148286497,14665.988517135,95.6802296572994
12,300,4770.0993845395,14629.9006154605,95.40198769079
13,300,4756.42444564602,14593.575554354,95.1284889129204
14,300,4742.94402872896,14557.055971271,94.8588805745792
15,300,4729.62399768129,14520.3760023187,94.5924799536259
16,300,4716.43677750382,14483.5632224962,94.3287355500764
17,300,4703.35992684172,14446.6400731583,94.0671985368343
18,300,4690.3750683122,14409.6249316878,93.807501366244
19,300,4677.4670739411,14372.5329260589,93.5493414788221
20,300,4664.62343605164,14335.3765639484,93.2924687210327
21,300,4651.83377533527,14298.1662246647,93.0366755067053
22,300,4639.08945200221,14260.9105479978,92.7817890400442
23,300,4626.38325548892,14223.6167445111,92.5276651097783
24,300,4613.70915480033,14186.2908451997,92.2741830960066
25,300,4601.06209619148,14148.9379038085,92.0212419238296
26,300,4588.43783818833,14111.5621618117,91.7687567637665
27,300,4575.83281633019,14074.1671836698,91.5166563266038
28,300,4563.24403176284,14036.7559682372,91.2648806352569
29,300,4550.66895910868,13999.3310408913,91.0133791821736
30,300,4538.10547001595,13961.894529984,90.7621094003191
31,300,4525.55176953159,13924.4482304684,90.5110353906318
32,300,4513.00634301268,13886.9936569873,90.2601268602535
33,300,4500.46791173556,13849.5320882644,90.0093582347111
34,300,4487.93539570912,13812.0646042909,89.7587079141825
35,300,4475.40788247424,13774.5921175258,89.5081576494847
36,300,4462.88460089062,13737.1153991094,89.2576920178124
37,300,4450.36489908894,13699.6351009111,89.0072979817788
38,300,4437.84822590823,13662.1517740918,88.7569645181646
39,300,4425.33411525491,13624.6658847451,88.5066823050982
40,300,4412.82217291435,13587.1778270856,88.2564434582871
41,300,4400.31206542378,13549.6879345762,88.0062413084756
42,300,4387.80351067966,13512.1964893203,87.7560702135933
43,300,4375.29627000585,13474.7037299942,87.505925400117
44,300,4362.79014145278,13437.2098585472,87.2558028290556
45,300,4350.28495413504,13399.715045865,87.0056990827008
46,300,4337.78056344509,13362.2194365549,86.7556112689019
47,300,4325.2768470067,13324.7231529933,86.505536940134
48,300,4312.7737012531,13287.2262987469,86.2554740250621
49,300,4300.27103853304,13249.728961467,86.0054207706609
50,300,4287.76878466288,13212.2312153371,85.7553756932576
51,300,4275.26687685579,13174.7331231442,85.5053375371157
52,300,4262.76526196979,13137.2347380302,85.2553052393957
53,300,4250.26389502541,13099.7361049746,85.0052779005082
54,300,4237.7627379514,13062.2372620486,84.755254759028
55,300,4225.26175852331,13024.7382414767,84.5052351704663
56,300,4212.76092946531,12987.2390705347,84.2552185893063
57,300,4200.26022769001,12949.73977231,84.0052045538002
58,300,4187.75963365516,12912.2403663448,83.7551926731032
59,300,4175.25913081919,12874.7408691808,83.5051826163838
60,300,4162.75870518035,12837.2412948196,83.2551741036071
61,300,4150.25834488674,12799.7416551133,83.0051668977348
62,300,4137.75803990613,12762.2419600939,82.7551607981227
63,300,4125.25778174659,12724.7422182534,82.5051556349318
64,300,4112.75756321995,12687.2424367801,82.2551512643989
65,300,4100.25737824163,12649.7426217584,82.0051475648326
66,300,4087.75722166123,12612.2427783388,81.7551444332245
67,300,4075.25708911903,12574.742910881,81.5051417823806
68,300,4062.75697692466,12537.2430230753,81.2551395384933
69,300,4050.25688195431,12499.7431180457,81.0051376390863
70,300,4037.75680156374,12462.2431984363,80.7551360312748
71,300,4025.25673351466,12424.7432664853,80.5051346702932
72,300,4012.7566759124,12387.2433240876,80.2551335182481
73,300,4000.25662715318,12349.7433728468,80.0051325430636
74,300,3987.75658587942,12312.2434141206,79.7551317175883
75,300,3975.25655094194,12274.7434490581,79.5051310188389
76,300,3962.75652136803,12237.243478632,79.2551304273605
77,300,3950.25649633425,12199.7435036657,79.0051299266851
78,300,3937.75647514363,12162.2435248564,78.7551295028726
