# PROVENANCE -- reproducible from the original with tools/fielddata/extract_ride_fixture.py
#   source file    i188577527.fit (not committed: carries GPS and heart rate)
#   device         garmin_product 4440, firmware 32.2; recorded on 2026-09-20 (date only: the start
#                  time is dropped so relative seconds cannot be turned into clock times)
#   ours           developer_data_index 3, application_id 24ec02815a2643ac8e47d1f1bc7bceb4 (manifest id is fc13e61e7ca54c998c7a7c64f0ef4434)
#   CRC            verified by fitparse check_crc=True
#   values         every developer field_description in the file: index, field number,
#                  name, FIT base type, units, target message. Values of other apps'
#                  fields are NOT recorded here; only that they were declared.
#   bytes          one element of the base type (arrays counted once)
index	field	name	type	bytes	units	mesg	ours
0	0	Alpha1	float32	4		record	
0	1	Artifacts	float32	4	%	record	
0	2	RespirationRate	uint8	1	bpm	record	
0	3	RRa1_ratio	float32	4	s-1	record	
0	5	readiness_alphahrv	float32	4	%	session	
1	0	carb_rate	uint16	2	g/h	record	
1	1	fat_rate	uint16	2	g/h	record	
1	2	total_carbohydrates	uint16	2	g	session	
1	3	total_fat	uint16	2	g	session	
2	1	avg_core_temperature	float32	4	?	lap	
2	2	max_core_temperature	float32	4	?	lap	
2	3	min_core_temperature	float32	4	?	lap	
2	0	core_temperature	float32	4	?C	record	
2	10	skin_temperature	float32	4	?C	record	
2	19	core_data_quality	sint16	2	Q	record	
2	20	core_reserved	sint16	2	kcal	record	
2	81	CIQ_core_temperature	float32	4	?	record	
2	82	CIQ_skin_temperature	float32	4	?	record	
2	95	heat_strain_index	float32	4	a.u.	record	
2	5	avg_core_temperature	float32	4	?	session	
2	6	max_core_temperature	float32	4	?	session	
2	7	min_core_temperature	float32	4	?	session	
2	26	CIQ_device_info	uint8	1		session	
3	0	PCr_J	float32	4	J	record	yes
3	1	GLY_J	float32	4	J	record	yes
