# PROVENANCE -- reproducible from the original with tools/fielddata/extract_ride_fixture.py
#   source file    i188577527.fit (not committed: carries GPS and heart rate)
#   device         garmin_product 4440, firmware 32.2; recorded on 2026-09-20 (date only: the start
#                  time is dropped so relative seconds cannot be turned into clock times)
#   ours           developer_data_index 3, application_id 24ec02815a2643ac8e47d1f1bc7bceb4 (manifest id is fc13e61e7ca54c998c7a7c64f0ef4434)
#   CRC            verified by fitparse check_crc=True
#   values         record messages (FIT global 20) in file order; t = seconds since the
#                  first record; power = native field 7 (W); PCr_J / GLY_J = this app's
#                  developer fields 0 / 1, float32, written with 9 significant digits
#                  (exact round-trip)
#   absence        an EMPTY cell means the field was absent from that record; 0 W is a
#                  real power reading. Record fields latch (FACTS.md 3.3), so a repeated
#                  value can be a steady state or a re-emitted one.
#   columns        read BY NAME; a loader must refuse a row whose cell count differs
#                  from the header's.
#   cross-checks   records 11903; first PCr_J 5368, GLY_J 16104; last t 15140
t,power,PCr_J,GLY_J
0,126,5368,16104
1,4,5368,16104
2,113,5368,16104
3,159,5368,16104
4,154,5368,16104
5,140,5368,16104
6,122,5368,16104
7,106,5368,16104
8,105,5368,16104
9,120,5368,16104
10,142,5368,16104
11,148,5368,16104
12,261,5368,16104
13,238,5282.17529,16064.4365
14,233,5282.38281,16064.4727
15,244,5282.65088,16064.5098
16,235,5282.78418,16064.5439
17,215,5283.02686,16064.5801
18,220,5283.51074,16064.6211
19,238,5283.93213,16064.6611
20,243,5284.13574,16064.6973
21,245,5284.27881,16064.7314
22,244,5284.39795,16064.7656
23,212,5284.52881,16064.7998
24,221,5285.04004,16064.8408
25,205,5285.44141,16064.8799
26,206,5286.02881,16064.9229
27,213,5286.60059,16064.9648
28,221,5287.08691,16065.0059
29,224,5287.47998,16065.0449
30,280,5287.83398,16065.083
31,330,5222.40234,16033.4463
32,323,5145.26074,15966.3457
33,307,5083.97266,15892.9746
34,274,5037.19971,15824.0586
35,256,5007.47559,15773.29
36,259,4986.84814,15733.9707
37,272,4967.10449,15693.0215
38,278,4944.8623,15643.7246
39,261,4922.30664,15591.0215
40,232,4905.93799,15551.1084
41,216,4907.41748,15551.6289
42,210,4909.91553,15552.1973
43,227,4912.77979,15552.7832
44,276,4914.5542,15553.3174
45,276,4916.31836,15553.8506
46,285,4888.22705,15515.7139
47,265,4860.05566,15470.3594
48,231,4841.72705,15436.9395
49,201,4843.47314,15437.5703
50,201,4847.39648,15438.3125
51,208,4851.28271,15439.0527
52,204,4854.64014,15439.7656
53,198,4858.27051,15440.4951
54,183,4862.2915,15441.2441
55,136,4867.32568,15442.0469
56,89,4875.57129,15443.0156
57,87,4886.896,15444.1279
58,56,4898.08301,15445.2422
59,16,4911.02686,15446.4316
60,6,4926.14502,15447.6992
61,139,4941.37549,15448.9814
62,149,4948.22656,15449.9297
63,161,4954.38086,15450.8428
64,224,4959.76416,15451.7139
65,224,4965.08252,15452.584
66,266,4966.81006,15453.2246
67,267,4929.52246,15433.1855
68,309,4899.99707,15406.1465
69,339,4856.71777,15352.6631
70,318,4806.85938,15277.5586
71,314,4769.3999,15212.541
72,304,4736.31592,15148.6963
73,304,4705.44043,15084.0361
74,248,4679.50586,15026.124
75,232,4680.16162,15027.0469
76,252,4682.31348,15028.0615
77,229,4682.59277,15028.958
78,175,4685.01465,15029.9873
79,165,4692.44824,15031.3389
80,176,4700.7041,15032.7441
81,176,4708.86768,15034.1494
82,194,4715.95312,15035.4893
83,204,4721.35498,15036.7188
84,208,4725.84277,15037.8896
85,198,4729.94629,15039.0342
86,203,4734.89111,15040.2373
87,245,4739.36328,15041.4082
88,268,4740.21729,15042.333
89,254,4712.89453,15024.7197
90,236,4712.9834,15025.6084
91,236,4713.07227,15026.4971
92,244,4714.76514,15027.4883
93,226,4715.74072,15028.4307
94,205,4718.31396,15029.4795
95,222,4722.729,15030.6514
96,225,4725.62061,15031.7188
97,237,4728.24023,15032.7686
98,240,4729.80713,15033.749
99,251,4731.1084,15034.71
100,246,4731.45459,15035.6074
101,235,4732.23242,15036.5312
102,225,4733.96094,15037.5186
103,224,4736.54688,15038.5635
104,217,4739.21094,15039.6143
105,206,4742.45996,15040.7041
106,207,4746.62793,15041.8574
107,186,4750.68359,15043.0039
108,173,4756.47607,15044.2734
109,184,4763.2959,15045.6172
110,203,4769.12939,15046.8936
111,225,4773.36523,15048.0576
112,223,4775.79395,15049.0928
113,204,4778.37158,15050.1377
114,170,4782.4624,15051.293
115,142,4789.22656,15052.6436
116,125,4798.13281,15054.1514
117,129,4808.20215,15055.7432
118,156,4817.80908,15057.3154
119,168,4825.21387,15058.7373
120,166,4831.64648,15060.0928
121,162,4838.14941,15061.458
122,176,4844.84912,15062.8408
123,176,4850.46875,15064.1426
124,179,4856.03955,15065.4453
125,166,4861.33594,15066.7275
126,164,4867.47461,15068.082
127,172,4867.47461,15068.082
128,184,4878.67578,15070.7158
129,191,4883.41553,15071.9658
130,214,4887.63818,15073.1719
131,211,4890.31738,15074.2432
132,197,4893.17969,15075.3311
133,174,4896.93359,15076.5
134,162,4902.12988,15077.7969
135,165,4908.0249,15079.1582
136,180,4913.66895,15080.5039
137,185,4918.31055,15081.7627
138,212,4922.59863,15082.9912
139,236,4925.20508,15084.0635
140,71,4926.35107,15085.001
141,63,4937.43311,15086.7881
142,58,4948.68555,15088.5986
143,53,4959.95264,15090.4277
144,16,4971.17383,15092.2676
145,103,4984.09912,15094.2178
146,81,4992.06006,15095.8555
147,97,5000.97607,15097.583
148,216,5008.88086,15099.2402
149,154,5010.78809,15100.2734
150,38,5015.71143,15101.6504
151,24,5026.13428,15103.5195
152,4,5036.88086,15105.4229
153,0,5048.24756,15107.3838
154,0,5059.34521,15109.3408
155,0,5070.07959,15111.2979
156,0,5080.44141,15113.251
157,0,5090.44385,15115.2002
158,0,5100.09912,15117.1455
159,0,5109.42871,15119.0889
160,0,5118.4165,15121.0244
161,112,5127.10938,15122.96
162,96,5131.81006,15124.5098
163,38,5136.93018,15126.125
164,31,5143.77393,15127.9482
165,31,5151.58594,15129.8701
166,32,5159.11914,15131.7871
167,100,5163.71045,15133.4004
168,102,5168.0293,15134.9844
169,91,5172.21094,15136.5605
170,81,5176.59131,15138.1768
171,73,5181.14404,15139.833
172,75,5185.78369,15141.5137
173,71,5190.26318,15143.1855
174,73,5194.72559,15144.8672
175,80,5199.04199,15146.5439
176,50,5203.08105,15148.1885
177,57,5207.69971,15149.9346
178,127,5212.02783,15151.6514
179,92,5214.76123,15153.0908
180,79,5218.17432,15154.6768
181,80,5221.77783,15156.3105
182,170,5225.2749,15157.9385
183,164,5226.93311,15159.1533
184,32,5228.68604,15160.3965
185,33,5233.54688,15162.2549
186,109,5237.03906,15163.9258
187,66,5239.65039,15165.4219
188,168,5242.9668,15167.084
189,134,5244.45557,15168.2988
190,122,5246.49756,15169.6768
191,146,5248.70947,15171.1104
192,180,5250.48779,15172.4277
193,148,5251.69336,15173.5732
194,8,5253.39355,15174.876
195,0,5257.27295,15176.6895
196,0,5261.13135,15178.5117
197,0,5264.85938,15180.333
198,0,5268.4541,15182.1484
199,0,5271.92725,15183.9619
200,0,5275.2793,15185.7725
201,0,5278.51465,15187.5791
202,16,5281.6377,15189.3818
203,3,5284.46533,15191.1465
204,48,5287.34082,15192.9326
205,48,5290.15918,15194.7266
206,,5290.15918,15194.7266
207,135,5293.58643,15197.4062
208,203,5294.80908,15198.7373
209,135,5295.33008,15199.7344
210,73,5296.52393,15201.0625
211,23,5298.30518,15202.6377
212,1,5300.51953,15204.3584
213,0,5302.8667,15206.126
214,0,5305.1416,15207.8926
215,0,5307.33936,15209.6572
216,0,5309.45605,15211.415
217,0,5311.50342,15213.1729
218,0,5313.47314,15214.9219
219,0,5315.37842,15216.6709
220,0,5317.21729,15218.417
221,0,5318.99561,15220.1631
222,0,5320.70654,15221.9004
239,,5320.70654,15221.9004
240,474,5194.58838,15219.6748
241,523,4939.81299,15132.6133
242,299,4680.78369,15005.9502
243,333,4615.10303,14914.5527
244,245,4544.30029,14798.5293
245,201,4545.40869,14799.666
246,188,4551.38574,14801.1172
247,142,4558.74121,14802.6602
248,136,4571.06006,14804.5273
249,174,4583.82422,14806.4297
250,195,4592.37402,14808.0674
251,170,4598.63867,14809.5527
252,151,4607.43359,14811.2139
253,123,4618.08252,14813.0059
254,123,4631.39746,14814.9766
255,132,4644.50293,14816.9482
256,149,4656.47461,14818.8555
257,153,4666.65186,14820.6543
258,142,4676.26807,14822.416
259,129,4686.81738,14824.2559
260,113,4698.37891,14826.1738
261,120,4711.18848,14828.1865
262,123,4723.12305,14830.1523
263,122,4734.604,14832.1006
264,99,4745.93359,14834.0459
265,75,4759.03711,14836.1309
266,64,4773.7959,14838.3311
267,81,4789.09326,14840.5811
268,81,4802.6582,14842.7432
269,18,4815.9458,14844.9082
270,0,4833.56885,14847.3262
271,0,4851.96289,14849.8008
272,0,4869.7085,14852.2686
273,0,4886.82861,14854.7285
274,0,4903.3623,14857.1836
275,0,4919.36084,14859.6387
276,0,4934.79492,14862.0869
277,0,4949.69971,14864.5303
278,6,4964.0791,14866.9668
279,0,4977.66553,14869.3857
280,0,4991.09961,14871.8145
281,0,5004.08545,14874.2412
282,0,5016.58838,14876.6562
283,4,5028.69873,14879.0732
284,40,5040.20947,14881.4736
285,98,5049.7168,14883.7441
286,98,5058.9585,14886.0127
287,81,5065.51172,14888.0137
288,159,5072.62842,14890.0996
289,124,5076.45898,14891.7305
290,96,5081.61865,14893.5762
291,79,5087.75879,14895.5703
292,0,5094.42969,14897.6523
293,0,5103.86572,14900.0283
294,2,5112.91504,14902.3896
295,3,5121.71533,14904.7559
296,1,5130.03809,14907.1006
297,0,5138.21729,14909.4551
298,0,5146.10059,14911.7998
299,0,5153.74414,14914.1436
300,0,5161.13232,14916.4844
301,0,5168.27344,14918.8232
302,0,5175.16211,14921.1553
319,,5175.16211,14921.1553
320,204,5262.1792,14960.8975
321,286,5262.91113,14962.1514
322,330,5159.78857,14914.6582
323,317,5057.229,14827.4775
324,269,4978.20557,14734.2451
325,191,4929.24414,14662.7607
326,210,4932.99316,14664.4414
327,234,4935.61475,14665.9727
328,244,4936.82861,14667.3086
329,214,4937.46387,14668.5693
330,185,4939.82373,14670.0605
331,210,4943.83838,14671.7852
332,256,4946.39014,14673.3057
333,257,4898.66113,14632.9316
334,250,4859.39697,14586.7578
335,240,4859.73682,14588.042
336,215,4860.75342,14589.4033
337,208,4863.45654,14590.9688
338,215,4866.61914,14592.5928
339,226,4869.29395,14594.1562
340,228,4871.22461,14595.6279
341,229,4873.01221,14597.0791
342,210,4874.73047,14598.5234
343,209,4877.69189,14600.123
344,216,4880.70117,14601.7295
345,220,4883.23926,14603.2773
346,217,4885.49854,14604.7852
347,236,4887.94775,14606.3213
348,231,4889.16504,14607.6982
349,221,4890.69727,14609.1133
350,211,4892.86328,14610.6104
351,213,4895.65625,14612.1904
352,218,4898.30176,14613.749
353,191,4900.62402,14615.2676
354,158,4904.61328,14617.0049
355,163,4910.61426,14619.0107
356,191,4916.23291,14620.9746
357,206,4920.09375,14622.707
358,179,4923.02734,14624.3154
359,168,4927.54395,14626.1426
360,166,4932.65723,14628.0547
361,176,4937.83252,14629.9824
362,180,4942.37646,14631.8291
363,199,4946.63672,14633.6377
364,198,4949.78613,14635.2881
365,165,4952.97754,14636.9502
366,142,4957.96387,14638.8721
367,138,4964.1499,14640.9697
368,130,4970.47119,14643.0986
369,124,4977.11963,14645.2832
370,152,4983.95752,14647.5029
371,196,4989.24561,14649.5146
372,227,4992.2334,14651.1738
373,206,4993.6416,14652.582
374,34,4996.09424,14654.1562
375,20,5007.07422,14656.875
376,0,5018.42871,14659.6523
377,0,5030.33984,14662.4912
378,0,5041.85791,14665.3271
379,0,5052.98438,14668.1572
380,0,5063.74316,14670.9854
381,0,5074.12549,14673.8047
382,0,5084.14502,14676.6162
383,0,5093.8335,14679.4248
384,0,5103.19238,14682.2275
385,94,5112.2417,14685.0273
386,353,5117.75,14687.3799
387,492,5002.85156,14634.4434
388,544,4796.70996,14536.4883
389,355,4579.02197,14400.3594
390,386,4513.19727,14304.248
391,178,4442.54785,14184.3906
392,243,4451.87939,14186.7695
393,224,4453.32178,14188.4619
394,199,4457.03564,14190.3467
395,146,4463.72461,14192.4971
396,114,4476.64941,14195.1973
397,108,4493.14746,14198.1982
398,119,4510.01514,14201.2441
399,126,4525.2915,14204.1816
400,112,4539.55322,14207.0566
401,105,4555.12793,14210.0596
402,118,4571.1123,14213.1084
403,122,4585.44043,14216.042
404,109,4599.10156,14218.9355
405,100,4613.85254,14221.9424
406,94,4629.18457,14225.0146
407,83,4644.80371,14228.1328
408,79,4661.13916,14231.332
409,79,4677.51123,14234.5615
410,61,4693.42773,14237.7695
411,20,4710.6377,14241.1113
412,215,4730.95557,14244.6865
413,218,4734.3042,14246.6104
414,198,4737.38281,14248.499
415,184,4742.11182,14250.5967
416,151,4747.95312,14252.834
417,147,4756.43018,14255.4004
418,150,4765.10547,14257.999
419,133,4773.4292,14260.5674
420,103,4782.96826,14263.293
421,78,4794.67529,14266.2793
422,19,4808.02344,14269.4492
423,20,4825.3916,14272.9678
424,0,4842.16895,14276.4775
425,0,4859.81396,14280.0732
426,0,4876.86914,14283.6621
427,0,4893.37061,14287.2471
428,0,4909.28906,14290.8184
429,0,4924.70605,14294.3896
430,0,4939.56348,14297.9434
431,75,4953.98145,14301.5039
432,248,4963.78906,14304.6318
433,669,4964.16162,14306.1709
434,418,4530.45508,14252.9795
435,418,4144.48145,14154.9131
436,209,4038.99731,14030.332
437,141,4046.9751,14032.5508
438,65,4066.57129,14035.5273
439,61,4098.81445,14039.2012
440,61,4130.89404,14042.8945
441,61,4162.16797,14046.5811
442,62,4192.65576,14050.2617
443,55,4222.16602,14053.9209
444,45,4252.04199,14057.6309
445,4,4282.62891,14061.4062
446,0,4318.15625,14065.4053
447,0,4353.03955,14069.4121
448,0,4386.83594,14073.4189
449,0,4419.48047,14077.4141
450,0,4451.01318,14081.3975
451,0,4481.53271,14085.377
